artist_name,track_name,release_date,genre,lyrics
Al Jarreau,We're in This Love Together,1981,soul,"It?s like a diamond ring, it's a precious thing And we never want to lose it It?s like a favorite song that we love to sing Every time we hear the music chorus And we're in this love together We got the kind that lasts forever We're in this love together And like berries on the vine, it gets sweeter all the time verse It?s like a rainy night in candlelight And, ooh it?s so romantic We got the whole thing working out so right, yes And it's just the way we planned it"
Kashif,Love Changes,1987,soul,"You stay awake half the night Love has just put you through changes Tell me why, tell me why, tell me why It must be love that's on your mind You're doing things you wouldn't before But you oughta know, baby Love will make you oh so happy (So happy) Inside. (Inside) Hi-hi-hi (You can't control it, but it just takes you over.) And love Love will make you (make you) oh so sad, (So sad) Make you cry. (Make you cry.) Hi-hi-hi (Na, na, na)"
Alexander O'Neal,Criticize,1987,soul,"Can't you find something else to talk about? Is this song the only one you sing? Makes you look better when you put things down Who values your opinion? [Pre-Chorus] Don't criticize my friends Criticize my ideas Don't criticize my lifestyle I'm fed up 'cause all you wanna do is criticize [Chorus] Don't just close your mind Ooh, ooh (Criticize, yeah) You don't realize (All you wanna do is criticize) I just want what is right Still you say Criticize"
Luther Ingram,If Loving You Is Wrong (I Don't Want to Be Right),1972,soul,If loving you is wrong I don't wanna be right If being right means being without you I'd rather live a wrong doing life Your mama and daddy say it's a shame It's a downright disgrace Long as I got you by my side I don't care what your people say Your friends tell you it's no future In loving a married man If I can't see you when I want to I'll see you when I can [Chorus] If loving you is wrong I don't wanna be right If loving you is wrong I don't wanna be right
Jackie Wilson,Higher and Higher,1967,soul,"Your love, lifting me higher Than I've ever been lifted before So keep it it up, quench my desire And I'll be at your side, forever more You know your love (Your love keeps lifting me) Keep on lifting (Love keeps lifting me) Higher (Lifting me) Higher and higher (Higher) I said, your love (Your love keeps lifting me) Keep on (Love keeps lifting me) Lifting me (Lifting me) Higher and higher (Higher)"
Doris Troy,Just One Look,1963,soul,"Just one look, and I fell so hard In love with you, oh-oh, oh-oh I found out how good it feels To have, your love, oh-oh, oh-oh [Verse 2] Say you will, will be mine Forever and always, oh-oh, oh-oh Just one look and I knew That you were my only one Oh-oh-oh-ooh [Bridge] I thought I was dreamin' But I was wrong, yeah, yeah, yeah Oh, but I'm gonna keep on schemin' 'Til I can make you, make you my own"
Fontella Bass,Rescue Me,1965,soul,"Rescue me Or take me in your arms Rescue me I want your tender charms 'Cause I'm lonely and I'm blue I need you and your love too Come on and rescue me [Chorus] Come on, baby, and rescue me Come on, baby, and rescue me 'Cause I need you by my side Can't you see that I'm lonely? Rescue me [Verse 2] Come on and take my heart Take your love and conquer every part 'Cause I'm lonely and I'm blue I need you and your love too Come on and rescue me"
Joe Tex,Ain't Gonna Bump No More (With No Big Fat Woman),1977,soul,"Three nights ago, I was at a disco Man, I wanted to bump I was rarin' to go And this big fat woman bumped me on the floor She was rarin' to go, that chick was rarin' to go Man, she did a dip Almost broke my hip She was gettin' down, that chick was gettin' down She wanted to bump some more, but I told her no You done knocked me down once You done knocked me down once Said ""If you wanna dance, find you a big fat man Y'all go on and get on down Y'all go on and get on down"", ha!"
Esther Phillips,What a Diff'rence a Day Makes,1975,soul,"What a difference a day makes Twenty-four little hours Brought the sun and the flowers Where there used to be rain My yesterday was blue, dear Today I'm a part of you, dear My lonely nights are through, dear Since you said you were mine [Verse 2] What a difference a day makes There's a rainbow before me Skies above can't be stormy Since that moment of bliss, that thrilling kiss It's heaven when you Find romance on your menu What a difference a day makes And the difference is you"
Jerry Butler,Only the Strong Survive,1969,soul,"(I remember) I remember my first love affair (I remember) Somehow or another the whole darn thing went wrong (I remember) My mama had some great advice so I thought I'd put it into words of this song (I remember) I can still hear her sayin' [Verse 1] Boy (Boy, boy), oh, I see you're sittin' out there all alone Cryin' your eyes out 'cause the woman that you love is gone Oh, there's gonna be, there's gonna be a whole lot of trouble in your life (A whole lot of trouble) Oh, so listen to me, get up off your knees 'cause only the strong survive That's what she said"
The Intruders,Cowboys to Girls,1968,soul,"I remember (I remember) When I used to play shoot 'em up (Shoot 'em up, bang-bang, baby) I remember (Ooh-hoo, ooh) When I chased the girls and beat 'em up [Pre-Chorus] But I was young and didn't understand But now I'm a grown-up man I know girls are made for kissing Never knew what I was missing Now my life is not the same My whole world has been rearranged"
Eddie Kendricks,Keep on Truckin',1973,soul,"Keep on truckin', baby I got to keep on truckin' Got to get to your good lovin' Huh ... huh ... huh ... huh ... huh ... [Verse 1] Shame A double shame on me, yeah Love Love, I let control me, yeah [Pre-Chorus] From just one kiss, I am inspired To lovers in time, there's a fire [Chorus] And I'll keep on truckin', baby I got to keep on truckin' Hey, got to get to your sweet lovin' Huh ... huh ... huh ... huh ..."
Daryl Hall & John Oates,I Can't Go for That (No Can Do),1981,soul,"Easy, ready, willin’, overtime Where does it stop? Where do you dare me To draw the line? You've got the body Now you want my soul Don't even think about it Say, “No go” [Pre-Chorus] Yeah, I, I'll do anything That you want me to Yeah, I'll do almost anything That you want me to, ooh Yeah "
Boz Scaggs,Lowdown,1976,soul,"Baby's into runnin' around, hangin' with the crowd Puttin' your business in the street, talkin' out loud Sayin' you bought her this and that And how much you done spent I swear she must believe it's all heaven sent [Pre-Chorus] Hey, boy You better bring the chick around To the sad, sad truth The dirty lowdown [Chorus] (Oohooohooohooo) (I wonder, wonder, wonder, wonder who) Taught her how to talk like that (Oohooohooohooo) (I wonder, wonder, wonder, wonder who) Gave her that big idea"
Ruby & the Romantics,Our Day Will Come,1963,soul,Our day will come And we'll have everything We'll share the joy Falling in love can bring No one can tell me That I'm too young to know (young to know) I love you so (love you so) And you love me Our day will come If we just wait a while No tears for us Think love and wear a smile
