artist_name,track_name,release_date,lyrics,genre,predicted_genre
manfred mann,bring it to jerome,1964,work bring home come baby give money away give money away give money away tell baby try see hum crazy bout crazy bout crazy bout tell pretty baby wrong know mama crazy bout crazy bout crazy bout pretty women bring home worry wrong bring home bring bring home bring bring bring look pretty baby mess stand women bring home bring bring home bring bring bring bring bring pretty women bring home worry wrong bring home bring bring home bring,pop,blues
manfred mann,"hi lili, hi lo",1965,tree sit sing song song song hilili hilili hilo song song know song song love window watch rain hilili hilili hilo tomorrow probably hilili hilili hilo song song hilili hilili hilo song song know song song love window watch rain hilili hilili hilo tomorrow probably hilili hilili hilo,pop,pop
manfred mann,since i don't have you,1965,plan scheme hop dream strong desire hours happiness guess walk walk misery share care,pop,country
mariah carey,alone in love,1990,sweep away lose dark leave spark haze lose inside maze guess look eye turn realize game play hold night go run sight hard hold sweep away lose dark leave spark haze lose inside maze guess haunt dream call watch fade away figure style quickly drift apart hold plan start sit dark suppose night slowly fall apart away hours till morning light sweep away lose dark leave spark haze lose inside maze guess,pop,blues
mariah carey,i don't wanna cry,1990,silence say emptiness inside baby look million promise change right stay bring pain wanna wanna world give heart soul give heart soul let cause baby wanna wanna apart bridge distance keep hang pretend know difference deny go moment break know swear forever hurt stay wanna wanna world give heart soul give heart soul let cause baby wanna wanna magic go memory go wrong makebelieving makebelieving cause wanna wanna world give heart soul give heart soul say give heart soul give heart soul let cause baby wanna wanna wanna,pop,pop
mariah carey,vision of love,1990,treat kind sweet destiny carry desperation wait take long believe need eventually vision give pray nights felt suffer alienation carry weight strong believe know succeed find place conceive vision give vision give realize dream visualize come feel alive thankful receive answer heaven send treat kind sweet destiny eternally grateful hold close pray nights faithfully know need eventually vision give vision turn,pop,country
marshall crenshaw,"crying, waiting, hoping",1987,cry wait hop come mind cry wait hop come think time cry tear fallin night long wait feel useless know wrong cry wait hop come maybe someday soon things change cry tear fallin night long wait feel useless know wrong cry wait hop come maybe someday soon things change cry wait hop,pop,pop
mary hopkin,goodbye,1968,late tomorrow come late late tomorrow leave away goodbyegoodbye goodbye goodbye goodbye songs linger lips excite linger mind leave flower door leave wait goodbyegoodbye goodbye goodbye goodbye away lover sing lonely song call song lonely invite goodbyegoodbye goodbye goodbye goodbye,pop,blues
mary j. blige,you bring me joy,1994,know life life know live live bring know time right wanna fuss fight wanna know feel good tonight want hand promise cool know like bring play fade goin know know know life gonna know live live bring know think thinkin wanna friend hard feel know real come play leave goin satisfy satisfy world girl know life gonna yeah know live know live live bring minute mind wanna tell time want gonna baby relax mind realize know realize right life know live live bring yeah know know life know live live,pop,pop
mary wells,my baby just cares for me,1964,fuck boyfriend want number fuck boyfriend want number fuck boyfriend want number tryna baby want number number important shut mouth baby foreign instead champagne syrup pour everyday life like tourin cars clothe hoe properties different area cod say couldn blow come sellin blow person wanna know fuck local tryna global young pullin girl tongue lyric song life stop shoot like save number throwaway baby throwaway mean rude baby gotta cuban link chain bracelet face hear main facelift damn shit tryna comedian look skinny feedin bitch cook bitch,pop,jazz
mary wells,what love has joined together,1993,easier water sand separate stop hold hand cause heart join join apart easier cold snow heat cause heart desire heart join join apart separate apart hearts easier change season year change feel dear heart join join apart join join,pop,country
matt monro,from russia with love,1990,russia wiser goodbye travel world learn return russia see place face smile moment haunt tongue tie young pride russia fly suddenly know care run russia,pop,jazz
maxwell,sumthin' sumthin',1996,cool little sumthin sumthin groove kick little sumthin sumthin pay attention wanna affection lose inside check cool little sumthin sumthin groove kick little sumthin sumthin dumplin yeah sista certin sumthin sumthin flava cocoa kinda flow baby baby like know cool wanna slip mello smooth blue cool repeat cool little sumthin sumthin groove kick little sumthin sumthin,pop,jazz
mazzy star,she hangs brightly,1990,hang brightly tree wonder aware game come watch watch come take deep wide pull winner game come watch watch come stay sour truth lie lovin story cheap winner game come watch watch come mumble indecipherably deep wide inside,pop,pop
meat puppets,backwater,1994,morning feel daybreak face blood flowin feel knife open vein things change stand look backwards half unconscious pain rearrange backwater swirl change shoulda go long time laugh say ways shelter paper rocket come sideways things change stand look backwards half unconscious pain rearrange backwater swirl change blind good fine roll time dime morning feel daybreak face blood flowin ceiling knife open vein things change stand look backwards half unconscious pain rearrange backwater swirl change,pop,rock
meat puppets,the whistling song,1984,dark silver break fade learn heart border plain pull lock hover live room door whistle hang feather drip pore show spectacle fall settle floor show spectacle fall settle floor settle floor,pop,blues
melissa manchester,don't cry out loud,1978,baby cry circus come cause want parade pass paint smile take clown dance wire know cause baby awful like loud inside learn hide feel high proud fall remember baby pull leave dream litter different kind think leave sawdust glitter baby break cause finest teacher tell loud inside learn hide feel high proud fall remember loud inside learn hide feel high proud fall remember loud inside learn hide feel high proud fall remember,pop,country
men at work,people just love to play with words,1982,tryin impress line mean nothin expression mean nothin mystify crystalize know people play word people play hear people play word people play hear side loss analyze imply know people play word people play hear people play word people play hear,pop,blues
michael jackson,i just can't stop loving you (feat. siedah garrett),1987,editions stop album wall album wall album thriller beat feat halen album thriller thriller feat album thriller human nature album thriller stop love feat siedah album album feel album dirty album smooth criminal album black white feat album dangerous album history past present future book earth song album history past present future book blood dance floor album blood dance floor history world album invincible break album invincible record number ones north americasouth america editions stop beat thriller stop love smooth criminal feel mirror album dirty black white earth song world break album jacksons live stop beat thriller feel mirror smooth criminal feel dirty black white earth song blood dance floor world chinese edition beat thriller feel mirror dirty black white earth song world album cover coverbooklet,pop,pop
michael jackson,love is here and now you're gone,1972,darling go darling go persuade instead tenderness heartache instead arm fell unaware loneliness wait close door heart girl turn lock away darling go darling go say love life beautiful pass soon come heart turn walk walk away strip dream give take look look love look face cry leave leave word sound sweet know heart cry touch baby lonely fade darling go darling go darling go talk darling go,pop,pop
michael jackson,remember the time,1991,remember fell young innocent remember begin like heaven remember fall long remember hold hand eye stare tell remember time fell remember time girl remember time fell remember time remember talk know stay phone night till remember things say like remember spring morning bird sing remember special time mind remember time fell remember time girl remember time fell remember time sweet memories dear girl matter say forget baby remember time fell remember time girl remember time fell remember time remember baby remember time cause remember fell remember time mind girl remember time fell remember time remember baby remember time remember time remember girl remember time phone remember time till girl remember time remember time beach remember time spain remember time grrrrrat grrrrrat remember time remember time dark remember time remember time yeah yeah remember time remember time,pop,pop
michael jackson,we've got forever,1975,forever forever plant garden laughter tear rain grow years dream dream time come true forever forever mean shall music shall rhyme shall minute time pleasures treasure sum care share cake crumb,pop,jazz
michael jackson,who is it,1991,give money give time give inside heart give passion soul give promise secrets untold promise forever live vow live life anew promise secret time promise untrue tell matter right cause bring night judge composure cause lie reason leave friend brother somebody hurt soul stuff damn dead agony inside die head injustice unto thee pray punishment promise forever live life vow live true leave reason unexplained need truth matter right cause bring night judge composure cause bother everyday leave letter away friend brother somebody hurt soul cause lonely friend tell bother somebody hurt soul cause lonely matter right cause bring night judge composure cause lie reason leave matter right cause bring night judge composure cause bother everyday leave letter away matter right cause bring night judge composure cause lie reason leave matter right cause bring night judge composure cause bother everyday leave letter away matter right cause bring night judge composure cause bother everyday leave letter away matter right cause bring night judge composure cause lie reason leave cause lonely,pop,reggae
michael learns to rock,the actor,1991,take take cause tomorrow work give gold promise world tell odds actor hop stay dirty game neonshows world know watch star satisfy soul think make feel cold cars restaurants fond wonder blind dirt mind actor hop stay actor hop stay actor hop stay actor hop stay actor hop stay,pop,pop
michael nesmith,mama nantucket,1970,whoa mama nantucket try kick habit couldn sting try relieve wasn believer range ohmytyyiyippee change range ohmytyyiyippee change dollar sure answer little time play follow leader sure winner things mind range ohmytyyiyippee change range ohmytyyiyippee change people run come everybody sing different tune fall like quarrel tomorrow past hop happen happen fast range ohmytyyiyippee change range ohmytyyiyippee change whoa lidalodalahee range ohmytyyiyippee change range ohmytyyiyippee change change,pop,country
millencolin,bullion,1996,feel tell thousand word weaker step waste time compact disc stale fish remember time feel right longer hours strength muffins swear share question spend time analyze soft live people want cause busy understand know shut world play nintendo game afraid join years struggle tire keep profile time alive gonna change life change plan change vans start dance change thoughts change change move change fighter change change bullion,pop,jazz
minutemen,do you want new wave or do you want the truth,1984,word word word mean fuck word serve truth stand language speak truth shout history cesspool shit,pop,rock
mission of burma,this is not a photograph,1981,photograph photograph elysian field photograph bigot head photograph photograph perpendicular line grain photograph want outside cage photograph bigot photograph photograph photograph photograph photograph photograph photograph photograph,pop,pop
mission of burma,trem two,1982,face window feature know escape world slow question question wide heavens heaviest sleep deserve unwanted deep touch pleasures past house pass dream melt reform outside heavens thoughts reborn thoughts reborn thoughts reborn thoughts reborn thoughts reborn thoughts reborn thoughts reborn thoughts reborn thoughts reborn,pop,pop
modern english,"\"i melt with you (7\"\" mix)\"",1982,move forward breath make second best world crash face know mesh lace stop world melt see difference get better time stop world melt know better dream better live kind hat trap state imaginary know better pilgrimage save humans race lyric commercial,pop,pop
modest mouse,polar opposites,1997,polar opposites push away weekend rest days know probably stay things tryin tryin drink away sleep away tryin tryin drink away sleep away oneeyed dog look stereos hifi gods hard cars grind vibrations teeth primer color die tryin tryin drink away sleep away tryin tryin drink away sleep away,pop,rock
mohammed rafi,jahan men log sachhe ashikon ko,1952,park bag pack kind heart look comfortable glow porch word come undo face ghost decide inside burn need kill breathe hold hand search breath leave hop someday breathe breathe open secrets truth distance shelter come view hang head break heart build tear apart burden anymore need kill breathe hold hand search breath leave hop someday breathe hurt want hurt go need kill breathe hold hand search breath leave hop someday breathe breathe need kill breathe hold hand search breath leave hop someday breathe breathe,pop,country
mohammed rafi,tumsa nahin dekha,1957,rain window tear eye leave pride want leavin baby blue honky tonk light play saddest songs dark shadow fall like break dream lose lonely ones heartbreak hotel know hang blue think lonely sure worry baby need hide heartache blue honky tonk light play saddest songs dark shadow fall like break dream lose lonely ones heartbreak hotel know hang blue hearts forsake untrue hurt baby know pack suitcase trouble blue honky tonk light play saddest songs dark shadow fall like break dream lose lonely ones heartbreak hotel know hang blue hang blue,pop,country
mott the hoople,sea diver,1972,morning shadow illspent time say time go try hard leave try sleep hours lord wish escape iron veil ride ride ride fail come go die grow like diver lose space sweet say lord wish escape iron veil ride right ride fail,pop,rock
mott the hoople,sweet jane,1972,stand corner suitcase hand corset vest roll band rid stutz bearcat different time poets study rule ladies roll eye sweet sweet sweet banker clerk save money come home work sit radio aplay little classical music kid march wooden soldier hear sweet sweet sweet people like dance people work evil mother tell life dirt women faint villains blink eye children ones blush life heart wouldn want turn break play wouldn want turn hate sweet sweet sweet sweet sweet sweet sweet sweet sweet sweet sweet sweet sweet sweet,pop,blues
mukesh,raat andheri door savera,1953,time feelin good time stoppin time livin high dust smilin onward thoughts away home travelin time settle satisfy wanderlust roam know havin good days gonna future look brighter past feel need worry reason memories remind maybe road life shin point diggin cities land extend welcome hand till morning time know havin good days gonna future look brighter past feel need worry reason memories remind maybe road life yeah yeah yeah yeah maybe road life road life yeah yeah yeah yeah yeah yeah yeah,pop,jazz
my bloody valentine,lose my breath,1988,come possess hell speak world wish asleep weigh darkness come repeat head remember say come want girl bear lose breath,pop,blues
my bloody valentine,nothing much to lose,1988,soft hand understand eye small small heart come know walk walk walk away remember long dark hair lose help crawl crawl crawl want eye ask late know soft salt taste fool look look look things take eye ask late come know walk walk walk away,pop,country
my bloody valentine,off your face,1990,hate pretend hate crybaby shame game swallow pain remain hate scar hate warn crybaby shame game rain,pop,blues
my bloody valentine,several girls galore,1988,hear care ignore wrap prefer drive feel sore take dance insane sure live inside girls galore ignore wrap insane sure live inside girls galore,pop,blues
my bloody valentine,soon,1991,fear want yeah pain yeah yeah come afraid soon harm eye blue blue jewel yeah yeah come like reason yeah yeah fear want yeah pain yeah yeah,pop,blues
najat al saghira,إلى حبيبى تسجيل حفلة,1961,eternally grateful past influence free diseased people write elastic life strangeness like paint get worse potential creep wreck mental wretch everybody ask write elastic soul hurt fill praise receive mentally send take apart observer magazine sum selfsatisfied smug live fake people entitle great write days good deal away away brain write elastic work space mystery daily mail article leather thighs thing real wake rub eye resign bottle comics stuff head fuck beard grow tire tomorrow fridge sparse stop shop verily track touch shoulder ignore dumb mission sick face smile write elastic,pop,reggae
naked eyes,always something there to remind me,1983,walk city streets walk step remind forget girl remind remind shadow fall pass small cafe dance night help recall felt kiss hold tight forget girl remind remind bear free miss sweet tender share place forget girl remind remind bear free cause remind remind remind remind remind,pop,country
nana mouskouri,only love,1986,memory moment world young songs unsung remember live give felt heart free warm days nights years paint color outshine word dream tear live remembrance memory moment life rage live live remember live give know heart free,pop,country
nancy sinatra,elusive dreams,1968,follow texas follow utah move follow alabama things look good birmingham move know tire follow elusive dream scheme fleet things elusive dream child memphis hear work nashville move small farm nebraska gold alaska move leave alaska goldmine time little memory cling know tire follow elusive dream scheme fleet things elusive dream,pop,country
nancy sinatra,jackson,1968,marry fever hotter pepper sprout talkin bout go goin gonna mess yeah yeah goin look ahead wreck health play hand bigtalkin fool yeah yeah comb hair gonna snowball ahead care breeze city people gonna stoop women gonna teach know goin turna loosea coat cause goin goodbye write laugh doubt dancin pony lead round like scald hound tail tuck legs yeah yeah yeah bigtalkin waitin japan marry fever hotter pepper sprout talkin bout go ououout natural fact goin comin marry fever hotter pepper sprout talkin bout,pop,country
nancy sinatra,lies,1966,lie lie tell true lie lie tear tear shed million tear tear tear love somebody someday gonna know lie lie break heart think smart believe think lead wayway lie lie believe word lie lie gonna someday someday gonna lonely lie lie break heart someday gonna know lie lie break heart think smart believe think lead wayway lie lie believe word lie lie gonna someday someday gonna lonely lie lie break heart lie break heart break heart,pop,country
nancy sinatra,run for your life,1966,dead little girl better head little world better life little hide head sand little catch girl little know wicked chick bear jealous mind spend life try line better life little hide head sand little catch girl sermon mean say baby determine cause dead better life little hide head sand baby catch girl hear dead little girl better head little world better life little hide head sand little catch girl little,pop,pop
natalie merchant,beloved wife,1995,certain life simply beloved wife know certain live life beloved wife beloved wife believe lose best certain life years simply beloved wife defy depth deep grief beloved soul renounce life right beloved wife beloved wife go suffer long hours pain go suffer begin go wrong surrender life tonight go wrong turn face away light tonight,pop,rock
ned's atomic dustbin,grey cell green,1991,desire desire run away desire run away tell tree tree inside tell grind inside tell sky eye inside tell mother earth sign birth inside desire desire run away desire run away away tell tree tree inside tell grind inside tell sky eye inside tell mother earth sign birth inside desire inside inside desire desire tell tree tree inside tell grind inside tell sky eye inside tell mother earth sign birth inside come grey cells green green cells grey desire inside,pop,reggae
neil diamond,lonely looking sky,1973,lonely look lonely lonely look bein lonely make wonder make wonder lonely look lonely look lonely look lonely look night lonely night lonely look night bein lonely right right lonely look night lonely look night lonely look night sleep sleep dream dream dream look look tell simple behold look look lonely look,pop,country
neil diamond,longfellow serenade,1974,longfellow serenade plan lady dreamer word trade know bear night like warm steal kiss lonely lonely ride come baby ride dream come true sing song sing song warm weave rhyme summer night leave worldly time wing flight come sleepy glade sing longfellow serenade longfellow serenade plan lady deep river night stay love love word lonely lonely ride come baby ride dream come true sing song sing song warm weave rhyme summer night leave worldly time wing flight come sleepy glade sing longfellow serenade weave rhyme summer night leave worldly time wing flight,pop,pop
neil diamond,play me,1973,morning night time wake lie softly say come lonely need wrong know know come lately moon word tune play song sing song brang word ring rhyme spring warm night right moon word tune play come travel road thorned narrow place save moon word tune play moon word tune play,pop,blues
neil sedaka,look inside your heart,1960,need know hear run wander stories true wander look inside heart wait matter look inside heart darling rovin days remember party lonely night want want heart right work look inside heart wear wear help mere fight look inside heart darling dark high remember party lonely night want want heart right work look inside heart look inside heart look inside heart,pop,pop
neil sedaka,no vacancy,1959,livin house makin highway rippin buildin gotta place week sleepin street lookin vacancy long walkin round vacancy walkin walkin vacancy searchin round vacancy apartment vacancy dishwasher place stay place rent sure crime cold water flat build time paint peelin right wall good golly bathroom lookin vacancy budget scrimp save givin wine women song roof head condition dead lookin vacancy long walkin round vacancy walkin walkin vacancy searchin round vacancy apartment vacancy dishwasher place stay long walkin round vacancy long walkin round vacancy long walkin round vacancy long walkin round vacancy long walkin round vacancy,pop,pop
neil sedaka,sweet little you,1960,sweet sweet sweet little sweet little sweet sweet sweet little baby sweet little sweet sweet sweet little whoa yeah sweet little sweet sweet sweet little hand hold cold kiss thrill soul sweet little feel fine whoa sweet little sweet sweet sweet little yeah sweet little sweet sweet sweet little word hear wild time near sweet little yeah word hear wild time near sweet little whoa yeah sweet sweet sweet little yeah sweet sweet sweet little sweet sweet sweet little sweet sweet sweet little sweet sweet sweet little whoa sweet sweet sweet,pop,blues
neil sedaka,the same old fool,1959,change fool think heart miss think heart tell realise tell fool think suddenly helpless change fool kind hurt start hold close moment gladly break heart fool think suddenly helpless change fool fool,pop,pop
neil sedaka,walk with me,1959,walk little darling walk little satisfy walk hold hand walk walk want near walk sincerely melt heart hold hand walk walk glow moonlight style walk door church corner walk right isle walk little darling walk little satisfy walk hold hand walk walk walk darling come come walk yeah yeah satisfy walk hold hand walk,pop,blues
new edition,delicious,1984,smile inside go wild wild wild away rainy days summer leave stay hold hold arm free heart delicious hold taste girl heart delicious rainbow know past memories passion curl core night life hold hand leave hold delicious,pop,country
new edition,lost in love,1984,nights cold grow care live easy surprise understand share life music eye stay tonight lose live lose dream lose true live doubt share life music arm sing lose live lose dream lose true live lose want passion hide lose time hurt reason start lose live lose dream lose live lose baby baby baby baby lose baby live lose,pop,country
new order,dreams never end,1981,promise fiend give dream simple movement rhyme smallest sign know care escapable view escape fear change value give sight long peaceful night nervous eye fracture smile soon die wrong life soul savage begin hello farewell soul hello farewell soul know hand look push change feel taste guess scream guess scream guess scream,pop,country
new order,leave me alone,1983,thousand islands thousand people like unions snow watch walk fall live underground go quiet tonight thousand islands shame years sailor tread grind stand away hurt thou head toe word book vision bring luck head toe teeth nose word wrong word wrong everytime word wrong smile head toe knees eye everytime watch days leave days leave leave leave,pop,blues
new york dolls,human being,1974,like ahead saint ahead gonna need plastic fresh coat paint gonna madness act quaint say yeah yeah yeah friend make scene bounce machine machine know real generate warmth mean say yeah yeah yeah act like cause human want things know human dream baby baby baby yeah human get obscene human head hang like human babe unknown human hold head high cause human riff raff human little drag cigarette forget blow million dollar liable lose best lovin beggin yeah yeah yeah act like cause human want things know human dream say human get obscene human head hang like human babe unknown human hold head high cause human riff raff human fact talk human race try cover disgrace say yeah yeah yeah yeah yeah yeah think scene appal type little thing color mystery want blow change magazines hollywood refugees scream yeah yeah yeah act like say human want things know human dream baby baby baby human get obscene human human human human human,pop,blues
new york dolls,pills,1973,lyin hospital roll nurse go head say hold stick tongue gots pills gonna somes go head head roll nurse go head head head lyin hospital little pill legs ache try pills heart little late gots pills ease roll nurse shake knees go head shove head roll nurse go head head head lyin hospital roll nurse nursey nursey dont understand doin say pills shoot wonderin worse go head shove head roll nurse go head head head lyin hospital roll nurse makin worse shootin right head doctor doctor dont think nurse givin give shots give pills takin junk will go head shove head roll nurse go head head head lyin hospital,pop,pop
nick lowe,cracking up,1979,crack get ready pills real escape scare daylights nightmare tense nervous everybody shakin hand sayin howdie think funny crack like wear shoe world leakin laugh wreck wreck shiver shake monster like earthquake everybody havin know cause think funny dead night time crack come warn gunman shoot tear hair root knife notion ocean emotion think funny think funny crack think funny crack think funny crack think funny crack think funny crack,pop,pop
no doubt,tragic kingdom,1995,remain seat permanecer sentados favor magical place time lose increase cost kingdom lock dungeon vault castle floor lie trap coil wire decoy cheese drawbridge lift millions drop knees homage dream bury mind tear freeze stiff icicles drip eye cold wind blow snow fight head small disillusion enter unaware castle wall write stone overthrow jesterly fool power people shall come believe rule homage dream bury mind tear freeze stiff icicles drip eye welcome tragic kingdom cornfields popcorn spring open lose head blind mice hear stories time hypnotize fireflies glow dark midgets disguise tiny little dwarf parade electrical serve real purpose take juice impress homage dream bury mind tear freeze stiff icicles drip eye drip eye night drip eye homage bury bury mind drip eye welcome tragic kingdom cornfields popcorn spring open welcome tragic kingdom,pop,blues
nofx,philthy phil philanthropist,1996,wrong mass consumption want need alcohol burn clean asphalt methamphetamine alright gonna alright live hunger underground people gotta problem authority beat relinquish control philthy philanthropist take away philthy give repay grand lame grand alcohol squirt holiday solution problem middle grind anybody replace superman ordinary philthy philanderer take away philthy give repay philthy philanthropist take away philthy give repay repay,pop,pop
nofx,please play this song on the radio,1992,write song short long backup vocals right place oozin take little pause sing fword play song radio line sing time end problem write word okay come play song radio play song radio play song radio play song radio play song right time shithead draw fuck line title sleeve asshole segue gonna shit right head play song radio play song,pop,country
nofx,stickin in my eye,1992,look smoke surround head sauna hear voice word say things say things stickin stickin stickin feel unusual thinkin better underground decay help kill beneath camera watch world begin pity come whats stickin stickin stickin stickin stickin stickin stickin,pop,reggae
odyssey,our lives are shaped by what we love,1972,today know search mountains lose want cost live shape live shape live shape young walk blaze earth trail teach childhood fail steadfast value necessary wiles stranger enemy smile live shape live shape live shape live shape true pick head look gonna put leave body kill floor float dream free live shape live shape live shape live shape girl true girl live shape yeah,pop,blues
oingo boingo,dead man's party,1985,dress walkin dead shoulder dress walkin dead shoulder wait invitation arrive goin party alive wait invitation arrive goin party alive strike light walkin street night sleep dead party everybody comin leave body door leave body soul door away dress walkin dead dead waitin invitation arrive walkin dead dead best suit shiny silver dollar hear chauffeur comin door say room maybe strike light walkin street night sleep dead party everybody comin leave body door leave body soul door away afraid away afraid strike light walkin street night sleep dead party everybody comin leave body door leave body soul door away afraid away afraid,pop,pop
oingo boingo,on the outside,1981,laugh aloud clown pride outside girls look cute work think jerk outside catch ride outside outside outside begin right outside lookin outside punk shoot junk try counterculture pass right outside talk debutantes restaurants patrons stare waiters wisecrack outside teachers school flunk rule motivation brain dedication guess imbeciles right outside outside outside begin outside look look alien tryin believe tryin stranger outside look disco make sick wear wrong clothe wrong things know dance feet wide outside think trend wear hair right clothe outta sight house modern kitsch macho bitch outside work sleep laugh outside outside outside outside outside outside outside outside outside outside outside outside begin outside look look alien tryin believe tryin stranger outside look outside outside outside outside outside outside,pop,pop
oingo boingo,sweat,1983,sweat bear trouble poise action ready spring moment notice nerve like trigger wait pull cover sweat nice sweat help burn heart sleep concentrate cold drip sweat nice sweat rivers run make slippery like fish stop drown fall dead cover sweat cool boys dust couldn pressure cool girls knock want fell suffer pick gun hammer friction heat heat desire make sweat sweat baby saturday night right close door little room start sweat start soon sweat principal catch school give hell call fool point finger face start sweat place flow like rivers floor sweat break land dodge bullets sand enemy get close beat neck finger twichin cover sweat cover sweat cool boys dust couldn pressure cool girls knock want fell suffer pick gun hammer friction heat heat desire make,pop,blues
olivia newton-john,carried away,1981,shiny morning figure speech reach tell love wrong right gonna lonely night turn turn away look love open door state mind suddenly appear carry away carry away carry away carry away carry away carry away wanna play goodbye live give break heart better know live gonna walk crowd call loud state mind suddenly appear carry away carry away carry away carry away carry away carry away carry away baby final word world tenderness carry away carry away carry away carry away carry away carry away carry away carry away carry away carry away carry away carry away carry away carry away,pop,country
olivia newton-john,please mr. please,1995,corner stand jukebox best country music hear selections quarter somebody songs good kentucky whiskey counter friends help ease pain buttonpushing cowboy play song miss mister play song song mister know mean wanna hear song dime time hold away close swear richest girl nashville maybe state tennessee guess better cause leave leave note say sorry picture song weigh heavy mind mister play song song mister know mean wanna hear song,pop,country
olivia newton-john,the long and winding road,1976,long wind road lead door disappear see road lead lead door wild night rain wash away leave pool tear cry leave stand know time time cry know ways try lead long wind road leave stand long long time leave wait lead door,pop,blues
orchestral manoeuvres in the dark,souvenir,1981,direction proposal hard lead astray obsession creation understand important need coordination imagine destination intention opinion excuse feel remain feel remain,pop,pop
our lady peace,starseed,1995,world hold passenger search souls search slide yeah yeah yeah yeah yeah yeah yeah yeah yeah go bring easy believe drown starseed starseed hop world wasn glow darken ride fall equator inside inside yeah yeah yeah yeah yeahmmmm real yeah yeah yeah yeah go bring easy believe drown starseed starseed go bring easy believe choose starseed go bring easy believe choose starseed starseed starseed,pop,blues
outkast,myintrotoletuknow,1994,time time think future days slave cool niggas vultures slam nigga black pull fuck heater crew believers harder bitch dicks sound like shit ghetto say lakewood better strap cause niggas good hustler serve loyal customers rent month hustle phillies citgo niggas want drink shit fuck aight cause get pay dollar dig pocket earn deep time smoke dime smoke dime smoke dime smoke dime smoke dime time slip slowly surely niggas hang want like know come listen story gots shit mind wipe booboo brain finish rhyme number catch slumber lick slammer summer fall have ball make nickel sack crawl niggas serve beep plus roll reefer regal refrain rough tough dangerous hang nigga change wanna battle shit like sell smoke shit niggas gonna toke dope slang track niggas comprehend deeper cadillacs know right bite fuck get away time real hell shit pimp shit slang south talk atown bust fuck mouth smoke dime smoke dime smoke dime smoke dime,pop,pop
outkast,wailin',1996,zone like keyser söze usual suspect check game respect southern pride check fuck head scar look face dead test like guess enemies freestyles freebies wrong nigga fuck wouldn wouldn wrong eat chicken thighs piece mojo flow like want figure beat like beat street krush groove breakin bake rebuke satan wait second come funny time fly rhyme laface record think perfect time doper saddam believe nation islam fuck police dog sniff dope think overstep boundaries guilty yeah repeat felt pressure like shin rain time keep rhyme complain brain cat dog catalog size golf ball throw dukes hazzardous boss hoggs rosco people caboose locomotive gift suppose gift boast brag rhyme compose sick cause know hear flow hiphop shit gift shop speech bear shit outta zone long hate fuck gut head cause home pray later cause need wail traitors like,pop,rock
pablo cruise,love will find a way,1978,wrong think strong feel like fool poor think maybe say goodbye understand reason felt cool right right past pain past pain learn heart open cause feel need change rearrange dream feel like fall apart need brand start afraid true whoa right right past pain past pain learn heart open cause yeah afraid shine cause right right past pain past pain learn heart open cause right right past pain past pain learn heart open cause alright alright afraid cause alright alright alright alright heart open cause,pop,pop
pablo cruise,worlds away,1978,hard begin time go start light step step follow mind wanna worlds away worlds away days get longer desire leave keep get stronger time come cast away worlds away whoa wanna worlds away lifetime time long worlds away yeah worlds away yeah wanna worlds away know wanna worlds away worlds away yeah,pop,country
pat benatar,all fired up,1988,livin eye close goin know difference care lookin reason searchin sign reachin hand gotta feel kick inside fire believe come time fire fall line fire live learn mistake fire fire fire livin perfect world everybody cryin hear burnin eye lightin darkness movin like meteorite fire believe come time fire fall line fire live learn mistake fire fire fire deepest cut heal believe come time fall line live learn mistake deepest cut heal believe come time fall line live learn mistake deepest cut heal believe come time fall line live learn mistake deepest cut heal believe come time fall line live learn mistake deepest cut heal believe fire believe come time fire fall line fire live learn mistake fire fire fire deepest cut heal fire believe come time fall line live learn mistake deepest cut heal,pop,country
pat benatar,hit me with your best shot,1980,real tough long history break little hearts like okay dukes best shoot best shoot best shoot away come come fight fair okay care knock vain right feet best shoot best shoot best shoot away real tough long history break little hearts like notch lipstick better sure place best shoot best shoot best shoot away best shoot best shoot best shoot away,pop,country
pat benatar,temporary heroes,1984,see downfalls temporary heroes whoa misguide direction long perfection whoa pain foolish hide inside temporary hero blame rituals movements soon improvements hide scar late discover untainted destine memory pain foolish hide inside temporary hero blame chance watchful glance turn away wound heal tell feel pain foolish hide inside temporary hero blame,pop,pop
pat boone,don't forbid me,1962,forbid hold tight adarlin forbid hold tight hold lovin arm cause cold warm adon forbid kiss lips adarlin forbid kiss lips kiss baby cause cold lips freeze strong wind ablowin blue moon pretty baby knowin need heartwarmin forbid talk sweet talk darlin forbid talk sweet talk little heart cause cold forbid desire cold cold forbida desire forbid desire,pop,blues
pat boone,i'll be home,1962,home darling stroll free corner drugstore saturday meet meet walk home moonlight things repeat darling write letter hop think mind long home start serve home darling walk home moonlight free speak darling write letter hop think mind long home start serve home darling walk home moonlight free,pop,blues
patti page,"hush, hush, sweet charlotte",1965,hush hush sweet hush hush sweet till die hold darling hold tight brush tear weep dream night dream say goodbye hold roses hand roses give tell passion white true hush hush sweet hush hush sweet till die night shall night go wind sing lullaby sweet love hush hush sweet hush hush sweet till die,pop,rock
patti page,i went to your wedding,1960,go wed dread think lose organ play poor heart keep say dream dream come aisle wear smile vision loveliness utter sigh whisper goodbye goodbye happiness mother cry father cry cry teardrops fall lose come aisle wear smile vision loveliness utter sigh whisper goodbye goodbye happiness mother cry father cry cry teardrops fall lose,pop,blues
